序號,KOC名稱,IG Handle,IG連結,Email,其他平台連結,所在城市/地區,主要語言,主領域,次領域,內容主題標籤,受眾屬性,粉絲數,互動率(%)
1,JW-Jones,@jwjonesblues,instagram.com/jwjonesblues,官網查詢,jwjonesblues.com,"Ottawa, Canada",英語,藍調吉他手,現場演出,#blues #IBC #bluesguitar,藍調愛好者、加拿大音樂粉絲,"7,500",~3.5%
2,Quinn Sullivan,@quinnsullivan,instagram.com/quinnsullivan,官網查詢,quinnsullivanmusic.com,"New Bedford, MA",英語,藍調吉他手/創作人,現場演出,#blues #youngblues #guitar,藍調粉絲、Buddy Guy 愛好者,"43,000",~2%
3,Solomon Hicks,@solomonhicksofficial,instagram.com/solomonhicksofficial,官網查詢,kingsolomonhicks.com,"New York, NY",英語,藍調/爵士吉他手,現場演出,#blues #jazz #nyc,藍調/爵士粉絲、NYC 音樂愛好者,"13,000",~2.5%
4,Eric Johanson,@ericjohanson504,instagram.com/ericjohanson504,官網查詢,ericjohanson.com,"New Orleans, LA",英語,藍調/搖滾吉他手,藍調創作,#blues #nola #bluesguitar,藍調愛好者、紐奧良音樂粉絲,"10,000",~3%
5,Sugaray Rayford,@sugarayrayford,instagram.com/sugarayrayford,官網查詢,sugarayrayford.com,"Maricopa, AZ",英語,藍調歌手/詞曲創作,Soul 音樂,#blues #soulblues #BMA,藍調/靈魂樂愛好者,"8,000",~3%
6,LadyA Blues,@ladya_bluesdiva,instagram.com/ladya_bluesdiva,—,—,Pacific NW,英語,藍調/Soul/Funk 歌手,現場演出,#blues #soul #funk #gospel,太平洋西北藍調粉絲,"11,000",~2.5%
7,Lashon,@lashonofficiall,instagram.com/lashonofficiall,—,lashon.me,"Miami, FL",英語,藍調/Soul 歌手,現場演出,#blues #soul #rnb,藍調/靈魂樂愛好者,"9,100",~3%
8,Ruthie Foster,@ruthiefostermusic,instagram.com/ruthiefostermusic,官網查詢,ruthiefoster.com,"Austin, TX",英語,藍調/民謠歌手,Grammy 得主,#blues #folk #grammy,藍調/根源樂愛好者、德州音樂粉絲,"10,000",~2.5%
9,Danielle Nicole,@daniellenicoleband,instagram.com/daniellenicoleband,官網查詢,daniellenicolemusic.com,"Kansas City, MO",英語,藍調/Soul 歌手,7 次 BMA 得主,#blues #soul #BMA,藍調愛好者、堪薩斯城音樂粉絲,"16,000",~2.5%
10,Amythyst Kiah,@amythystkiah,instagram.com/amythystkiah,官網查詢,amythystkiah.com,"Johnson City, TN",英語,另類藍調/民謠歌手,Grammy 提名,#blues #folk #americana,藍調/美式根源樂愛好者,"44,000",~1.5%
11,Blues Rock Review,@blues_rock_review,instagram.com/blues_rock_review,官網查詢,bluesrockreview.com,USA（全國）,英語,藍調搖滾媒體,音樂評論,#bluesrock #musicreview #blues,藍調搖滾愛好者、樂評讀者,"21,000",~2%
12,American Blues Scene,@ameribluesscene,instagram.com/ameribluesscene,官網查詢,americanbluesscene.com,USA（全國）,英語,根源音樂媒體,音樂評論/採訪,#blues #roots #americana,藍調/根源樂愛好者,"17,000",~2%
13,Martine Ehrenclou / Rock & Blues Muse,@rockbluesmuse,instagram.com/rockbluesmuse,官網查詢,rockandbluesmuse.com,"Los Angeles, CA",英語,藍調搖滾媒體/記者,音樂評論,#blues #bluesrock #musicjournalism,藍調搖滾迷、洛杉磯音樂圈,"8,500",~3%
14,Blues Festival Guide,@bluesfestivalguide,instagram.com/bluesfestivalguide,官網查詢,bluesfestivalguide.com,USA（全國）,英語,藍調節慶媒體,音樂活動指南,#bluesfestival #blues #livemusic,藍調節慶粉絲、現場音樂愛好者,"13,000",~2%
15,Beale Street Memphis,@bealestreetmemphis,instagram.com/bealestreetmemphis,官網查詢,bealestreet.com,"Memphis, TN",英語,藍調聖地社群帳號,孟菲斯文化,#bealestreet #memphis #bluesmusic,孟菲斯/藍調文化愛好者,"11,000",~2.5%
16,Beale Street Music Festival,@bealestreetmusicfestival,instagram.com/bealestreetmusicfestival,官網查詢,bealestreet.com,"Memphis, TN",英語,音樂節活動帳號,孟菲斯音樂,#bsmf #memphismusic #bealestreet,音樂節粉絲、孟菲斯音樂愛好者,"45,000",~1.5%
17,Austin Blues Festival,@austinbluesfestival,instagram.com/austinbluesfestival,官網查詢,—,"Austin, TX",英語,藍調音樂節,現場音樂,#austinblues #blues #livemusic,德州藍調粉絲、奧斯丁音樂愛好者,"13,000",~2.5%
18,Waterfront Blues Festival,@waterfrontblues,instagram.com/waterfrontblues,官網查詢,waterfrontbluesfest.com,"Portland, OR",英語,藍調音樂節,波特蘭文化,#waterfrontblues #blues #portland,太平洋西北藍調粉絲,"9,300",~3%
19,John Harp,@ojohnharp,instagram.com/ojohnharp,—,—,USA,英語,藍調口琴演奏家,現場演出,#blues #harmonica #harp,藍調口琴愛好者、音樂粉絲,"11,000",~2.5%
20,CHICAGO BLUES,@chicagobluesdotcom,instagram.com/chicagobluesdotcom,官網查詢,chicagoblues.com,"Chicago, IL",英語,芝加哥藍調社群媒體,音樂文化,#chicagoblues #blues #chicago,芝加哥藍調愛好者,"6,400",~3%
21,KaJeng Wong（王嘉陵）,@kajengwong,instagram.com/kajengwong,官網查詢,kajengwong.com,Hong Kong,英語/廣東話,古典鋼琴家,音樂製作人（紀錄片主角）,#classicalpiano #piano #hkmusic,古典音樂愛好者、港澳台音樂粉絲,"21,000",~2%
22,Savannah Jones,@sav.plays.piano,instagram.com/sav.plays.piano,—,YouTube,"Provo, UT",英語,古典鋼琴網紅,音樂教育,#classicalpiano #piano #byu,古典音樂愛好者、鋼琴學習者,"35,000",~2%
23,Score: The Podcast,@scoremovie,instagram.com/scoremovie,官網查詢,score-movie.com,USA,英語,電影音樂 Podcast,紀錄片社群,#filmscore #filmmusic #documentary,電影音樂/作曲愛好者,"24,000",~2%
24,ROOTSandBLUES Festival,@rootsandbluesfestival,instagram.com/rootsandbluesfestival,官網查詢,—,Canada,英語,根源藍調音樂節,音樂節活動,#rootsandblues #blues #roots,加拿大根源/藍調音樂粉絲,"5,600",~3.5%
25,Jerry Jean 簡子翕,@jerryjeanmusic,instagram.com/jerryjeanmusic,官網查詢,jerryjean.com,"New York, NY",英語/中文,台裔美籍創作歌手,音樂製作人,#TaiwaneseAmerican #indie #nyc,台美/亞裔音樂粉絲、NYC 音樂圈,"36,000",~2%
26,Treya Lam 林婷怡,@treyalam,instagram.com/treyalam,—,talkingtaiwan.com (Podcast 受訪),"New York, NY",英語/中文,台裔美籍民謠創作歌手,政治題材歌曲,#TaiwaneseAmerican #folk #nyc,台灣認同/進步社群、NYC 音樂粉絲,"5,100",~4%
27,Kaz Moon,@kazpsycho100,instagram.com/kazpsycho100,—,Spotify,"Dallas, TX",英語,華裔美籍獨立音樂人,臥室 Pop/另類,#indiemusic #bedroomPop #ChineseAmerican,華美獨立音樂粉絲,"7,000",~3.5%
28,Debbie Tjong,@debbiedotmusic,instagram.com/debbiedotmusic,—,—,"New York, NY",英語,東南亞裔多樂器音樂人,現場演出/鍵盤手,#nyc #musician #live,NYC 音樂圈、多樂器演奏粉絲,"15,000",~2.5%
29,TaiwanFest NYC,@taiwanfest.nyc,instagram.com/taiwanfest.nyc,官方網站查詢,taiwanfest.nyc,"New York, NY",英語/中文,台裔文化節活動,NYC 台灣社群,#TaiwanFest #TaiwaneseAmerican #NYC,NYC 台灣裔社群、亞裔文化愛好者,"11,000",~2.5%
30,Party Taiwan,@partytaiwan,instagram.com/partytaiwan,—,—,"New York, NY",英語/中文,台灣社群音樂活動,NYC 派對文化,#partytaiwan #TaiwaneseNYC,台灣裔 NYC 年輕世代,"7,300",~3%
