序號,KOC名稱,主要Handle,主要連結,IG Handle / Email,其他平台連結,所在城市/地區,主要語言,主領域,次領域,內容主題標籤,受眾屬性,粉絲數/規模,互動率(%)
1,Taiwan Grooves（Fil Leskovsky）,—,—,官網查詢,spotify: Taiwan Grooves；soundon.fm,台北（RTI Radio Taiwan International）,英語,台灣音樂 Podcast,音樂人深訪,#TaiwanMusic #indie #podcast,台灣及海外台灣音樂愛好者,Spotify 週訂閱（規模待查）※,—
2,Talking Taiwan（Felicia Lin）,@talkingtaiwan,instagram.com/talkingtaiwan,官網查詢,talkingtaiwan.transistor.fm；Apple Podcasts,北美（移動）,英語,台灣相關 Podcast,台灣政治/社會/文化,#Taiwan #TaiwaneseAmerican #podcast,台灣/台美社群、亞太政策關注者,"~5,000 訂閱（Apple/Spotify）※",—
3,They Call Us Bruce（Jeff Yang & Phil Yu）,@theycallusbruce,instagram.com/theycallusbruce,官網查詢,theycallusbruce.com；Apple Podcasts,"New York, NY",英語,AAPI 文化 Podcast,娛樂/媒體評論,#AAPI #AsianAmerican #popculture,AAPI 媒體受眾、娛樂產業關注者,"IG ~7,000",~3.5%
4,Dear Asian Americans（Jerry Won）,@dearasianamericans,instagram.com/dearasianamericans,官網查詢,dearasianamericans.com；Apple Podcasts,"Los Angeles, CA",英語,AAPI 故事 Podcast,身份認同/創業,#AAPI #AsianAmerican #representation,北美亞裔年輕世代,"IG ~12,000",~2.5%
5,Self Evident: Asian America's Stories（Emily Kwong）,@selfevidentshow,instagram.com/selfevidentshow,官網查詢,selfevidentshow.com；NPR,"New York, NY",英語,AAPI 公共廣播,文化/社會議題,#AAPI #NPR #AsianAmerica,公共廣播聽眾、進步派亞裔受眾,"IG ~8,000",~3%
6,Potluck Podcast Collective,@podcastpotluck,instagram.com/podcastpotluck,hello@podcastpotluck.com,podcastpotluck.com,USA（全國）,英語,AAPI Podcast 聚合社群,Podcast 製作/推廣,#AAPI #podcast #AsianAmerican,亞裔 podcast 聽眾及創作者,"IG ~9,000",~3%
7,Baldwin Chiu「Only Won」,@onlywonmc,instagram.com/onlywonmc,官網查詢,fareastdeepsouth.com；onlywon.com,"Los Angeles, CA",英語,華裔美籍 rapper／紀錄片製作人,Far East Deep South（PBS）導演,#ChineseAmerican #blues #documentary,亞裔文化圈、藍調社群（Mississippi Delta 華人史）,"IG ~1,000※ 但 PBS 觸及廣",—
8,Larissa Lam,@larissalammusic,instagram.com/larissalammusic,官網查詢,larissalam.com；fareastdeepsouth.com,"Pasadena, CA",英語,創作歌手／紀錄片導演,Far East Deep South（PBS）； Oprah Winfrey Show 作曲,#documentary #ChineseAmerican #blues,亞裔電影/音樂圈,"IG ~3,000※ 但有 PBS/影展背書",—
9,Asian American Podcasters Association（AAPA）,@aapodcasters,instagram.com/aapodcasters,官網查詢,aapodcasters.org,USA（全國）,英語,AAPI Podcast 組織,社群推廣,#AAPI #podcast #community,AAPI podcast 創作者社群,"IG ~6,500",~3%
10,Paola Mardo,@paolamardo,instagram.com/paolamardo,官網查詢,paolamardo.com；Substack: Subtitles,"Los Angeles, CA",英語,菲裔美籍 podcast 主持人／紀錄片導演,Substack《Subtitles》創意產業 newsletter,#AAPI #documentary #creativity,AAPI 創意工作者、Vanity Fair 推薦 podcast 聽眾,"IG ~5,000",~3.5%
