序號,KOC名稱,主要Handle/連結,Email,其他平台,所在城市,主要語言,主領域,次領域,內容標籤,受眾屬性,粉絲/訂閱規模,欄位13,來源/備註
1,Diana Ratsamee（KEXP Eastern Echoes）,@sabaidi.ana,instagram.com/sabaidi.ana,官網查詢,kexp.org/shows/eastern-echoes；dianaratsamee.substack.com,"Seattle, WA",英語,亞洲離散音樂 DJ／Radio Host,Lao American；SEA Vinyl Society 共同創辦人,#AsianDiaspora #music #KEXP,亞洲音樂愛好者、Seattle AAPI 社群,"IG 6,890",~4%
2,Eric Hung,—,—,asianamericanmusic.org,asianamericanmusic.org；Apple Podcasts,"New York, NY",英語,亞裔美國音樂研究 Podcast 主持人,MAARC 執行長；台裔美籍音樂學家,#AsianAmericanMusic #musicology #AAPI,音樂研究者、AAPI 文化社群,Podcast（訂閱數待查）,—
3,Ken Fong,@kenfong,instagram.com/kenfong,官網查詢,asianamericapodcast.com；Apple Podcasts,"Los Angeles, CA",英語,AAPI 文化 Podcast 先驅（2015 年起）,娛樂／信仰／AAPI 身份,#AAPI #AsianAmerican #podcast,AAPI 成人受眾、長期忠實聽眾,"IG ~5,000",~3.5%
4,Prometheus Brown (Geo Quibuyen),@geo_quibuyen,instagram.com/geo_quibuyen,官網查詢,brownouts.substack.com；KEXP Eastern Echoes 客座,"Seattle, WA",英語,菲裔美籍 rapper／DJ／Substack 寫手,Blue Scholars；KEXP；Brownouts newsletter,#AAPI #hiphop #music,AAPI hip-hop 社群、Seattle 音樂圈,"IG ~8,000",~4%
5,DJ Chuang,@djchuang,instagram.com/djchuang,官網查詢,djchuang.com；Podchaser curator,National（DC 為主）,英語,AAPI Podcast 社群組織者／策展人,Podchaser 亞裔 podcast 名單策展,#AAPI #podcast #community,AAPI podcast 創作者與聽眾社群,"IG ~3,000",~3%
6,Celine Teo-Blockey,—,—,官方查詢,Asian Podcast Festival（亞裔藝術聯盟）主題講者,"New York, NY",英語,音樂主題 Podcast 主持人,Asian Podcast Festival（A3: Asian American Arts Alliance 主辦）,#musicpodcast #AAPI #storytelling,AAPI 音樂 podcast 聽眾,待查※,—
7,Asian American Writers' Workshop (AAWW),@aawwnyc,instagram.com/aawwnyc,官網查詢,aaww.org,"New York, NY",英語,亞裔美國文學／音樂活動組織,舉辦 Asian Musical Voices of America 系列活動,#AAPI #literature #music,NYC 亞裔文學與文化社群,"IG ~20,000",~2.5%
8,Music of Asian America Research Center (MAARC),@musicofasianamerica,instagram.com/musicofasianamerica,官網查詢,asianamericanmusic.org,"New York, NY",英語,亞裔美國音樂研究與口述歷史組織,口述歷史 Podcast 系列,#AsianAmericanMusic #oralhistory #AAPI,音樂研究者、AAPI 歷史社群,"IG ~3,500",~3.5%
9,AsAmNews,@asamNews,instagram.com/asamnews,官網查詢,asamNews.com,National,英語,亞裔美國新聞媒體,音樂、電影、文化報導,#AAPI #AsianAmerican #news,北美亞裔新聞讀者,"IG ~12,000",~2.5%
10,Gold House,@goldhouseco,instagram.com/goldhouseco,官網查詢,goldhouseco.com；LinkedIn 14K,National,英語,AAPI 創作者生態組織,Gold Music Alliance（Recording Academy 合作）；Futures Music Guild,#AAPI #music #entertainment,AAPI 音樂/娛樂產業人士、創作者,"IG ~35,000",~2%
11,New Bloom 破土,newbloom.substack.com,官網查詢,newbloommag.net；每週更新至 2026-06,Taipei／National,英語,台灣政治／獨立文化 newsletter,No Man Is An Island（音樂/藝術副刊）；DAYBREAK 活動空間,#Taiwan #indieculture #music,台灣政治關注者、台美進步社群,活躍週刊，訂閱數待查,,
12,itorento,itorento.substack.com,—,Substack,Canada/National,英語,AAPI 電影計畫追蹤 newsletter,涵蓋 Sean Wang、AAPI 紀錄片、AAPI 獨立影展,#AAPIfilm #documentary #indiefilm,AAPI 電影迷、影展觀眾,小規模但精準,,
